short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500
2.0,15.0,7.0,100.0,1000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,12.065798219320975,,,,,,,,,-5.212972611753756,20.47943118579299
2.0,15.0,7.0,100.0,2000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.182933781945453,,,,,,,,,-13.8610856853925,12.558783128593454
2.0,15.0,7.0,100.0,4000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,8.142216708609432,,,,,,,,,-18.57558850401833,11.867666643533198
2.0,15.0,7.0,100.0,250.0,7.5,0.5,0.25,0.2,0.02,2.0,0.025,,9.974293295120496,,,,,,,,,2.3674732133297915,23.38303865427298
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.025,,13.559404035148564,,,,,,,,,5.025327080610989,28.50076540918434
2.0,15.0,7.0,100.0,250.0,15.0,0.5,0.25,0.2,0.02,2.0,0.025,,13.30653247500478,,,,,,,,,3.9711420677133447,31.977600105523646
2.0,15.0,7.0,100.0,250.0,10.0,1.0,0.25,0.2,0.02,2.0,0.025,,13.559404035148564,,,,,,,,,5.025327080610989,28.50076540918434
2.0,15.0,7.0,100.0,250.0,10.0,1.5,0.25,0.2,0.02,2.0,0.025,,13.379972385995371,,,,,,,,,5.263319364159825,27.910341156156996
2.0,15.0,7.0,100.0,250.0,10.0,2.0,0.25,0.2,0.02,2.0,0.025,,13.37433572856634,,,,,,,,,5.715587566110425,26.8872556201214
2.0,15.0,7.0,100.0,250.0,10.0,2.5,0.25,0.2,0.02,2.0,0.025,,12.298125804866919,,,,,,,,,5.582079342030136,26.431565481268635
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.005,,10.130446477757772,,,,,,,,,8.496049888312164,11.848499528937571
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.01,,18.517879887279456,,,,,,,,,17.246182883675345,15.05049152995894
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.05,,7.9917019717494355,,,,,,,,,9.648937898011042,21.236929357490343
