short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500,cv_score
2.0,15.0,3.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-8.24204481821037,,,,,,,,,-8.24204481821037,27.50616690935798,2.058633579612261
2.0,15.0,4.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-3.061952173313646,,,,,,,,,-3.061952173313646,25.664960711729936,11.683232531700789
2.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,0.7110292020951476,,,,,,,,,0.7110292020951476,44.32518321704107,10.506143111494756
2.0,15.0,6.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-5.166151075054319,,,,,,,,,-5.166151075054319,29.409277866033015,11.140038221124396
2.0,15.0,7.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-2.2608021061594066,,,,,,,,,-2.2608021061594066,27.950870454388507,12.425374316408197
3.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-0.7501094119878324,,,,,,,,,-0.7501094119878324,43.683975365377435,8.73219077768675
4.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,0.7333751466726319,,,,,,,,,0.7333751466726319,41.85298246877541,9.539478518749418
5.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,0.3577029321562648,,,,,,,,,0.3577029321562648,39.20710128105101,8.259608418872864
6.0,15.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-0.33107753849846944,,,,,,,,,-0.33107753849846944,39.50318890314253,7.78301596606142
4.0,20.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-2.778229272544344,,,,,,,,,-2.778229272544344,37.176809303160105,5.508306710052168
4.0,25.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-8.113160912721732,,,,,,,,,-8.113160912721732,34.37095889613397,2.5534035646776974
4.0,30.0,5.0,75.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-10.523370772187642,,,,,,,,,-10.523370772187642,33.47261967637452,1.2120181020557252
4.0,15.0,5.0,100.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,3.3098360175784443,,,,,,,,,3.3098360175784443,41.41968432266175,9.564092615827995
4.0,15.0,5.0,150.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-4.798986865246626,,,,,,,,,-4.798986865246626,38.65919210241657,6.507019977861179
4.0,15.0,5.0,200.0,500.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-9.504362722328777,,,,,,,,,-9.504362722328777,33.09633384575426,5.2077034157504665
4.0,15.0,5.0,100.0,250.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,4.4935636041040095,,,,,,,,,4.4935636041040095,32.17980610169634,10.740843197970392
4.0,15.0,5.0,100.0,1000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-3.7874069408516036,,,,,,,,,-3.7874069408516036,38.5710884870514,6.529347519317303
4.0,15.0,5.0,100.0,2000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-12.403962996245625,,,,,,,,,-12.403962996245625,25.26410198431273,-0.1390680243221274
4.0,15.0,5.0,100.0,4000.0,12.5,0.5,0.25,0.2,0.02,2.0,0.025,,-15.34293138019854,,,,,,,,,-15.34293138019854,13.105582195589882,-1.71196927649925
4.0,15.0,5.0,100.0,250.0,7.5,0.5,0.25,0.2,0.02,2.0,0.025,,-3.812526592825158,,,,,,,,,-3.812526592825158,17.1614303052579,2.9436878071841566
4.0,15.0,5.0,100.0,250.0,10.0,0.5,0.25,0.2,0.02,2.0,0.025,,1.2910806223514086,,,,,,,,,1.2910806223514086,29.190777681754128,7.675508433931375
4.0,15.0,5.0,100.0,250.0,15.0,0.5,0.25,0.2,0.02,2.0,0.025,,5.912040715004661,,,,,,,,,5.912040715004661,36.007055477598755,11.820353574585631
4.0,15.0,5.0,100.0,250.0,15.0,1.0,0.25,0.2,0.02,2.0,0.025,,5.912040715004661,,,,,,,,,5.912040715004661,36.007055477598755,11.820353574585631
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.02,2.0,0.025,,5.916522431203056,,,,,,,,,5.916522431203056,35.87233349499971,11.706456134795113
4.0,15.0,5.0,100.0,250.0,15.0,2.0,0.25,0.2,0.02,2.0,0.025,,5.6879919808643535,,,,,,,,,5.6879919808643535,33.32129813882937,11.176218735070112
4.0,15.0,5.0,100.0,250.0,15.0,2.5,0.25,0.2,0.02,2.0,0.025,,5.3437758420927715,,,,,,,,,5.3437758420927715,33.377390515191365,10.96300789503198
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.02,2.0,0.005,,7.8151027746335116,,,,,,,,,7.8151027746335116,12.467232245780494,8.782295940980825
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.02,2.0,0.01,,19.53324191334172,,,,,,,,,19.53324191334172,12.031852418874264,18.619092854766905
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.02,2.0,0.05,,12.693168544698828,,,,,,,,,12.693168544698828,23.392405182476512,10.34941417745052
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.02,2.0,0.1,,13.389968156292515,,,,,,,,,13.389968156292515,22.93002962323859,7.38966085052533
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.005,2.0,0.01,,19.839342379171946,,,,,,,,,19.839342379171946,11.58166446909789,18.14601734038088
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.01,2.0,0.01,,18.92567857556444,,,,,,,,,18.92567857556444,12.627700058040743,17.734164849136587
4.0,15.0,5.0,100.0,250.0,15.0,1.5,0.25,0.2,0.04,2.0,0.01,,22.37294269279416,,,,,,,,,22.37294269279416,12.055695257185631,19.949205483681865
