short_term,long_term,price_range,amp_window,increase_holding,decrease_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,CV r2
10.0,50.0,7.0,25.0,4000.0,4000.0,15.0,3.0,0.04,,-0.9235672267926676,-4.357218542844064,,,,,,,,-3.4726139269989296
2.0,35.0,3.0,25.0,250.0,250.0,5.0,3.0,0.04,,-1.0740664038540082,-0.7688304900094016,,,,,,,,-1.28029158118329
6.0,35.0,10.0,25.0,250.0,4000.0,5.0,3.0,0.04,,-4.7447644915891924,-3.885704858450894,,,,,,,,-3.1885552909638912
6.0,35.0,10.0,150.0,4000.0,4000.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
10.0,15.0,10.0,25.0,250.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
10.0,50.0,10.0,150.0,250.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,50.0,7.0,25.0,250.0,4000.0,5.0,3.0,0.04,,1.8167322354541202,-2.504837336005547,,,,,,,,-3.3682016650401616
6.0,50.0,3.0,150.0,4000.0,4000.0,15.0,0.5,0.04,,-9.76372654885099,-8.844627777396662,,,,,,,,-7.68085837859272
2.0,50.0,10.0,25.0,4000.0,4000.0,5.0,3.0,0.04,,-4.1195235635278795,-4.346620939871588,,,,,,,,-3.1183999373842797
6.0,35.0,7.0,25.0,4000.0,250.0,15.0,3.0,0.005,,-0.02432120411922223,-0.0379594365955139,,,,,,,,-0.4449790168703215
2.0,50.0,10.0,25.0,250.0,250.0,5.0,0.5,0.04,,-0.8362920581759208,-1.070793805765757,,,,,,,,-2.3061871801121905
2.0,35.0,3.0,25.0,4000.0,250.0,5.0,0.5,0.005,,-8.654276526447397,-7.1297823303813255,,,,,,,,-6.500390904398396
10.0,50.0,3.0,25.0,4000.0,4000.0,5.0,3.0,0.005,,-8.975306042735925,-7.847528873327136,,,,,,,,-7.653356610075235
2.0,15.0,10.0,150.0,250.0,250.0,5.0,0.5,0.04,,-0.19312686281009428,-1.0431959692382535,,,,,,,,-1.3777686319164038
10.0,50.0,7.0,25.0,4000.0,4000.0,15.0,0.5,0.04,,-11.804717001736282,-2.2623585305212175,,,,,,,,-6.156966372620278
2.0,50.0,3.0,150.0,250.0,4000.0,15.0,3.0,0.005,,-1.951779103756505,-3.0956532921215727,,,,,,,,-3.0306955915018783
2.0,15.0,10.0,150.0,250.0,4000.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,35.0,3.0,25.0,250.0,4000.0,5.0,0.5,0.005,,-3.195996244426892,-3.3974645791516997,,,,,,,,-2.8377388083617268
2.0,35.0,10.0,25.0,250.0,4000.0,5.0,3.0,0.04,,-4.7447644915891924,-3.8230117930299605,,,,,,,,-3.1649393154246677
10.0,35.0,10.0,150.0,4000.0,4000.0,15.0,0.5,0.04,,-8.837830299281261,-8.996025468087275,,,,,,,,-6.070846799404436
