n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['pos_closePrice_lag_1'],0.023462001639886935,0.025184,-0.01523,-0.008942,0.977404,0.997459,0.994366,1.637559,1.718162,2.209065,1.42,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1']",0.041514561521421495,0.044425,-0.025348,-0.018945,0.96771,1.002418,0.999283,1.613425,2.022295,2.135518,1.48,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1']",0.05757778441587541,0.111519,-0.031295,-0.01755,0.933119,1.00532,0.998598,1.386706,1.403619,2.041247,1.75,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7']",0.07224571005376088,0.147006,-0.02448,-0.027503,0.914294,1.001993,1.00347,1.373201,1.314051,1.686108,1.48,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9']",0.08629572251424247,0.176785,-0.019978,-0.029891,0.898193,0.999789,1.004636,1.338808,1.387396,1.608391,1.35,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10']",0.10021893612307821,0.191992,-0.022647,-0.020136,0.889858,1.001097,0.999867,1.407949,1.327618,1.675015,1.43,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9']",0.11403292047385295,0.204841,-0.020603,-0.024718,0.882755,1.000095,1.002109,1.272407,1.309832,1.67036,1.9,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8']",0.1275850776916902,0.219033,-0.013404,-0.022845,0.874842,0.996562,1.001193,1.327701,1.333518,1.543329,1.44,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8']",0.1396794285171214,0.227183,-0.028655,-0.019698,0.870265,1.004033,0.999652,1.265231,1.318508,2.146337,1.47,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10']",0.15167293753053887,0.240164,-0.02921,-0.018599,0.862925,1.004304,0.999113,1.301809,1.313533,1.80734,1.59,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1']",0.16359361964117428,0.245241,-0.025815,-0.022626,0.860037,1.002646,1.001086,1.415123,1.351343,1.756218,1.15,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6']",0.17549680551871988,0.252787,-0.01598,-0.01125,0.855727,0.997828,0.995502,1.358506,1.287437,1.514156,1.41,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7']",0.18721845342196317,0.258108,-0.029747,-0.023383,0.852675,1.004565,1.001456,1.277422,1.288821,1.469272,1.85,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6']",0.1984239553382347,0.264285,-0.023774,-0.027622,0.849118,1.001648,1.003528,1.448719,1.360642,1.609063,2.13,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10']",0.20960802566066708,0.266539,-0.021728,-0.016864,0.847816,1.000647,0.998262,1.25922,1.28153,2.228678,1.76,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1']",0.22042998884823334,0.268847,-0.022098,-0.017536,0.846481,1.000828,0.998592,1.229963,1.307598,2.306723,1.92,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5']",0.23116740922144602,0.272267,-0.032052,-0.015624,0.844499,1.00569,0.997653,1.283152,1.304407,1.589179,1.42,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5', 'log_ret_lag_5']",0.24188142416232727,0.281299,-0.019143,-0.019498,0.839242,0.99938,0.999554,1.295074,1.359892,1.585772,1.76,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5', 'log_ret_lag_5', 'log_ret_normalised_by_day_lag_5']",0.25254000211279815,0.283094,-0.010157,-0.031196,0.838193,0.994964,1.005272,1.281008,1.376206,1.428767,1.64,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5', 'log_ret_lag_5', 'log_ret_normalised_by_day_lag_5', 'pos_log_ret_normalised_by_day_lag_1']",0.2630250601658052,0.284823,-0.021972,-0.023025,0.837182,1.000766,1.001281,1.471057,1.343028,2.648768,1.48,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5', 'log_ret_lag_5', 'log_ret_normalised_by_day_lag_5', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_3']",0.27349750797774913,0.292362,-0.017258,-0.031352,0.832757,0.998455,1.005348,1.279997,1.351671,1.696422,1.54,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5', 'log_ret_lag_5', 'log_ret_normalised_by_day_lag_5', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_3', 'log_ret_slope_3']",0.2838943671099448,0.286374,-0.009936,-0.024093,0.836274,0.994855,1.001804,1.231488,1.361648,1.55356,1.51,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5', 'log_ret_lag_5', 'log_ret_normalised_by_day_lag_5', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_3', 'log_ret_slope_3', 'log_ret_normalised_by_day_lag_2']",0.29411667488122606,0.298271,-0.020664,-0.014809,0.829273,1.000125,0.997252,1.251758,1.258187,1.982042,2.16,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_9', 'closePrice_slope_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_10', 'pos_log_ret_lag_1', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_6', 'log_ret_lag_10', 'pos_closePriceNorm_lag_1', 'log_ret_slope_5', 'log_ret_lag_5', 'log_ret_normalised_by_day_lag_5', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_3', 'log_ret_slope_3', 'log_ret_normalised_by_day_lag_2', 'log_ret_min_10']",0.304273985326314,0.305908,-0.035991,-0.017726,0.824749,1.007606,0.998685,1.304364,1.36161,1.826912,1.74,19260817.0,-1.0
