n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['pos_closePrice_lag_1'],0.06367826917600454,0.023653,-0.015483,-0.00989,0.006017,0.006328,0.006345,95022322443.87859,123018642501.34184,86085074715.99297,0.52,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1']",0.10627122821818427,0.042426,-0.017599,-0.009299,0.005959,0.006335,0.006343,153031413263.48218,220128787324.90552,173779152957.64304,0.54,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1']",0.14054860371069894,0.115732,-0.021744,-0.009988,0.005726,0.006347,0.006345,130945169727.68933,150780251444.19263,143417542876.0244,0.51,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1']",0.17413567637205488,0.143643,-0.026777,-0.005954,0.005635,0.006363,0.006332,126220267049.73834,183029998914.44485,144429585295.364,0.99,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1']",0.20309008157490072,0.169348,-0.020307,-0.005048,0.00555,0.006343,0.00633,134446799247.51003,193050073271.6962,139055368792.15274,1.07,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1']",0.23062327490560436,0.175846,-0.021774,-0.028883,0.005528,0.006348,0.006404,140361939645.68503,176640479211.01865,148426394702.63727,0.78,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'closePriceNorm_lag_1']",0.25536124047117187,0.203735,-0.050672,-0.055113,0.005434,0.006437,0.006485,140227677198.00946,185259538516.35138,208372350039.0441,1.15,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'closePriceNorm_lag_1', 'log_ret_normalised_by_day_lag_2']",0.2794441102403594,0.229095,-0.050009,-0.042284,0.005347,0.006435,0.006446,147635739637.68695,186794767930.9666,225809682808.3724,0.69,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'closePriceNorm_lag_1', 'log_ret_normalised_by_day_lag_2', 'pos_log_ret_lag_1']",0.30343028652478116,0.223564,-0.03175,-0.03391,0.005366,0.006378,0.00642,139483874094.70697,173809035025.4574,234487152519.95782,0.76,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePriceNorm_lag_1', 'closePriceNorm_lag_1', 'log_ret_normalised_by_day_lag_2', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_lag_3']",0.32697298008831766,0.240702,-0.021762,-0.037265,0.005306,0.006347,0.00643,141103087587.9171,162333592524.35828,171913949161.9119,0.6,19260817.0,-1.0
