n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['mean_log_ret_lag_1'],0.05136749786713746,0.596601,0.559474,0.531892,,,,0.596411,0.556907,0.53183,0.597301,0.558039,0.532216,0.596601,0.559474,0.531892,1.45,19260817.0,-1.0,0.59695,0.556171,0.532088
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5']",0.06305511639703484,0.608366,0.547368,0.534054,,,,0.608331,0.547543,0.534046,0.608739,0.547892,0.534284,0.608366,0.547368,0.534054,1.74,19260817.0,-1.0,0.60856,0.54707,0.534175
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10']",0.07454265633350807,0.669935,0.531053,0.536216,,,,0.66995,0.531269,0.536216,0.670081,0.532081,0.536428,0.669935,0.531053,0.536216,1.48,19260817.0,-1.0,0.67,0.531202,0.536322
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10', 'pos_log_ret_normalised_by_day_lag_1']",0.08600338831273595,0.700784,0.533684,0.545946,,,,0.70076,0.53364,0.545675,0.700762,0.535787,0.545773,0.700784,0.533684,0.545946,2.26,19260817.0,-1.0,0.70066,0.534771,0.545598
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1']",0.09740835166272485,0.721699,0.521053,0.537297,,,,0.721556,0.520845,0.537135,0.721811,0.523417,0.537153,0.721699,0.521053,0.537297,1.61,19260817.0,-1.0,0.721403,0.522389,0.537024
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_20']",0.10864738486433982,0.727712,0.526316,0.529189,,,,0.727562,0.526016,0.528416,0.727852,0.52888,0.528872,0.727712,0.526316,0.529189,2.58,19260817.0,-1.0,0.727406,0.527799,0.528617
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_20', 'pos_log_ret_lag_1']",0.11950337790013424,0.736209,0.533684,0.536216,,,,0.735876,0.533356,0.535858,0.736788,0.536362,0.536001,0.736209,0.533684,0.536216,1.3,19260817.0,-1.0,0.735737,0.535226,0.535821
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_20', 'pos_log_ret_lag_1', 'log_ret_skew_3']",0.13021154446181007,0.748235,0.551053,0.543243,,,,0.748085,0.550652,0.541926,0.748436,0.55403,0.543019,0.748235,0.551053,0.543243,1.75,19260817.0,-1.0,0.74792,0.552741,0.542492
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_20', 'pos_log_ret_lag_1', 'log_ret_skew_3', 'pos_closePriceNorm_lag_1']",0.14086488595890242,0.75268,0.536842,0.543784,,,,0.752631,0.535587,0.542548,0.752694,0.540902,0.54356,0.75268,0.536842,0.543784,2.11,19260817.0,-1.0,0.752505,0.539346,0.543055
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_slope_10', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_20', 'pos_log_ret_lag_1', 'log_ret_skew_3', 'pos_closePriceNorm_lag_1', 'log_ret_normalised_by_day_skew_3']",0.15136774426466923,0.753464,0.531579,0.540541,,,,0.753383,0.529211,0.540186,0.75353,0.536724,0.540336,0.753464,0.531579,0.540541,1.88,19260817.0,-1.0,0.753236,0.534847,0.540146
