n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['log_ret_lag_1'],0.04717548183437526,0.573333,0.482632,0.506486,,,,0.573031,0.48276,0.505492,0.573459,0.482934,0.507292,0.573333,0.482632,0.506486,0.04,19260817.0,-1.0,0.573258,0.481962,0.507126
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1']",0.08942450935563018,0.600238,0.506316,0.516757,,,,0.599672,0.506414,0.516543,0.600683,0.506541,0.517211,0.600238,0.506316,0.516757,0.05,19260817.0,-1.0,0.600131,0.505622,0.517072
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5']",0.11081559109398195,0.669286,0.526316,0.542162,,,,0.669279,0.526357,0.542183,0.669287,0.526402,0.542229,0.669286,0.526316,0.542162,0.06,19260817.0,-1.0,0.669273,0.525523,0.54214
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_normalised_by_day_skew_3']",0.13205491122221358,0.698333,0.529474,0.534595,,,,0.698166,0.529353,0.534598,0.698685,0.529263,0.534797,0.698333,0.529474,0.534595,0.07,19260817.0,-1.0,0.698268,0.528368,0.534693
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3']",0.15130514745874843,0.719286,0.523158,0.529189,,,,0.71916,0.523358,0.529034,0.719597,0.523785,0.529622,0.719286,0.523158,0.529189,0.05,19260817.0,-1.0,0.719227,0.522905,0.529468
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_skew_5']",0.17012050068199988,0.739762,0.53,0.531892,,,,0.739658,0.53005,0.531784,0.740066,0.530108,0.532277,0.739762,0.53,0.531892,0.05,19260817.0,-1.0,0.739707,0.529237,0.532134
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_skew_5', 'log_ret_slope_3']",0.18881150833309462,0.737381,0.520526,0.516757,,,,0.73711,0.52063,0.516718,0.738234,0.520769,0.517029,0.737381,0.520526,0.516757,0.15,19260817.0,-1.0,0.737291,0.519882,0.51692
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_skew_5', 'log_ret_slope_3', 'log_ret_slope_5']",0.20721444563728,0.751548,0.533158,0.511351,,,,0.751391,0.532877,0.511286,0.75208,0.532727,0.511653,0.751548,0.533158,0.511351,0.16,19260817.0,-1.0,0.751478,0.531809,0.511544
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_skew_5', 'log_ret_slope_3', 'log_ret_slope_5', 'log_ret_skew_5']",0.22546003332152564,0.751071,0.511053,0.527027,,,,0.751024,0.511276,0.52703,0.751211,0.511845,0.527034,0.751071,0.511053,0.527027,0.17,19260817.0,-1.0,0.751034,0.510937,0.526941
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_slope_5', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_skew_5', 'log_ret_slope_3', 'log_ret_slope_5', 'log_ret_skew_5', 'log_ret_skew_3']",0.24361567915928725,0.762262,0.531053,0.521081,,,,0.76224,0.531258,0.521101,0.762322,0.531746,0.52122,0.762262,0.531053,0.521081,0.13,19260817.0,-1.0,0.762236,0.530883,0.521123
