n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['log_ret_lag_1'],0.053390619345354585,0.025196,-0.012339,-0.015512,0.006017,0.006318,0.006362,95142205141.71127,95086683127.63852,96471763434.87756,0.56,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3']",0.10557933615265645,0.042574,-0.024104,-0.024901,0.005963,0.006355,0.006392,113462312420.05557,125076643592.5945,98722324908.68057,0.46,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3']",0.15658960427125648,0.099506,-0.011024,-0.036427,0.005783,0.006314,0.006428,102872584427.04358,114963451628.02834,100153734438.57802,0.49,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1']",0.20696258489536648,0.099947,-0.015499,-0.042,0.005781,0.006328,0.006445,97325392270.7477,113295654990.16603,98066611973.17413,0.44,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6']",0.2557425261341888,0.142399,-0.026379,-0.043393,0.005643,0.006362,0.006449,95603782060.5225,93384615690.20766,101989071636.6401,0.61,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5']",0.30284719977706,0.169349,-0.018465,-0.04253,0.005554,0.006337,0.006446,83180573813.07278,91881891366.02504,76180549776.2296,0.8,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5', 'ret_lag_2']",0.3489791576778146,0.192438,-0.011432,-0.040956,0.005476,0.006315,0.006442,83199002518.82062,106258369371.11993,91088992310.22398,0.81,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5', 'ret_lag_2', 'log_ret_lag_2']",0.3948758501507318,0.198685,-0.021954,-0.037564,0.005455,0.006348,0.006431,84518991574.00298,123748961808.8624,79834873496.20152,0.54,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5', 'ret_lag_2', 'log_ret_lag_2', 'ret_lag_6']",0.4399517902714915,0.196008,-0.02379,-0.035205,0.005464,0.006354,0.006424,84702249887.69525,101880568249.65306,86238120675.8477,0.82,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5', 'ret_lag_2', 'log_ret_lag_2', 'ret_lag_6', 'ret_lag_4']",0.4844042152738133,0.211039,-0.006321,-0.043165,0.005413,0.006299,0.006448,91192757539.72346,104811839956.57552,96069383556.92992,0.48,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5', 'ret_lag_2', 'log_ret_lag_2', 'ret_lag_6', 'ret_lag_4', 'log_ret_lag_4']",0.5285217418899613,0.213912,-0.004361,-0.035874,0.005403,0.006293,0.006426,90473824036.94774,97458269114.70958,94787675668.87553,0.55,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5', 'ret_lag_2', 'log_ret_lag_2', 'ret_lag_6', 'ret_lag_4', 'log_ret_lag_4', 'log_ret_lag_5']",0.5709687321519586,0.213061,-0.008725,-0.032539,0.005406,0.006307,0.006415,87722214446.14621,94632698743.7017,88127282192.64586,0.45,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_6', 'ret_lag_5', 'ret_lag_2', 'log_ret_lag_2', 'ret_lag_6', 'ret_lag_4', 'log_ret_lag_4', 'log_ret_lag_5', 'closePriceNorm_lag_8']",0.609051065815995,0.229919,-0.002162,-0.045604,0.005348,0.006286,0.006456,112400985205.13069,110788660644.86623,127256856118.07277,0.44,19260817.0,-1.0
