n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['closePriceNorm_lag_1'],0.0478124621836278,0.579273,0.525263,0.490811,,,,0.579155,0.521952,0.478662,0.579348,0.522981,0.492299,0.579273,0.525263,0.490811,0.65,19260817.0,-1.0,0.579261,0.521601,0.492959
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10']",0.09249181794013989,0.600242,0.523684,0.510811,,,,0.600046,0.518761,0.498712,0.600421,0.52084,0.514556,0.600242,0.523684,0.510811,0.62,19260817.0,-1.0,0.600226,0.519268,0.513001
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3']",0.13293855817122932,0.650788,0.528421,0.501081,,,,0.650787,0.524009,0.493424,0.650791,0.525865,0.503104,0.650788,0.528421,0.501081,0.61,19260817.0,-1.0,0.650789,0.524219,0.502814
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2']",0.17164776127780065,0.680848,0.518421,0.494054,,,,0.680838,0.511059,0.47739,0.680867,0.514701,0.496144,0.680848,0.518421,0.494054,0.48,19260817.0,-1.0,0.680844,0.513085,0.496568
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8']",0.20929601534422942,0.689212,0.542632,0.515676,,,,0.68915,0.536366,0.501648,0.689351,0.54028,0.520532,0.689212,0.542632,0.515676,0.41,19260817.0,-1.0,0.689202,0.537614,0.518042
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7']",0.2466278486463546,0.705455,0.528421,0.494054,,,,0.705376,0.518335,0.478812,0.705658,0.524812,0.496071,0.705455,0.528421,0.494054,0.44,19260817.0,-1.0,0.705443,0.52217,0.496462
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_6']",0.2837319190162145,0.716,0.521579,0.497297,,,,0.715906,0.51674,0.485648,0.716267,0.518693,0.499454,0.716,0.521579,0.497297,0.47,19260817.0,-1.0,0.715987,0.517204,0.499417
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9']",0.32019010464036385,0.721455,0.526316,0.48973,,,,0.721361,0.517797,0.477555,0.721733,0.522792,0.491101,0.721455,0.526316,0.48973,0.45,19260817.0,-1.0,0.721441,0.520562,0.491878
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'log_ret_lag_6']",0.3565840241016438,0.72897,0.526316,0.494054,,,,0.728927,0.516031,0.481982,0.7291,0.522518,0.495893,0.72897,0.526316,0.494054,0.5,19260817.0,-1.0,0.728961,0.520016,0.496203
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'log_ret_lag_6', 'ret_lag_6']",0.3924246345085655,0.733697,0.534211,0.496757,,,,0.733674,0.524473,0.48247,0.733767,0.531077,0.499078,0.733697,0.534211,0.496757,0.46,19260817.0,-1.0,0.73369,0.528039,0.499096
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'log_ret_lag_6', 'ret_lag_6', 'log_ret_lag_2']",0.4280121135839116,0.745212,0.523684,0.49027,,,,0.745052,0.517757,0.476373,0.745804,0.520568,0.491738,0.745212,0.523684,0.49027,0.47,19260817.0,-1.0,0.745194,0.518858,0.492563
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'log_ret_lag_6', 'ret_lag_6', 'log_ret_lag_2', 'ret_lag_1']",0.4628538604839764,0.748485,0.529474,0.500541,,,,0.748442,0.521693,0.4906,0.748641,0.526258,0.502831,0.748485,0.529474,0.500541,0.49,19260817.0,-1.0,0.748475,0.523953,0.502509
