n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['mean_log_ret_lag_1'],0.057313333541392064,0.597178,0.559474,0.534054,,,,0.596537,0.556907,0.53331,0.597946,0.558039,0.534991,0.597178,0.559474,0.534054,0.19,19260817.0,-1.0,0.597296,0.556171,0.534631
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1']",0.0714322450738105,0.61411,0.544211,0.524324,,,,0.613619,0.544367,0.524196,0.614829,0.544644,0.524717,0.61411,0.544211,0.524324,0.45,19260817.0,-1.0,0.614217,0.543815,0.52458
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1']",0.08547251031119327,0.668589,0.537895,0.544865,,,,0.668585,0.537803,0.544097,0.668616,0.54013,0.544635,0.668589,0.537895,0.544865,0.41,19260817.0,-1.0,0.668601,0.539081,0.544289
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1']",0.09916743283893674,0.70319,0.555789,0.535676,,,,0.703128,0.555986,0.53556,0.703428,0.556499,0.535557,0.70319,0.555789,0.535676,0.22,19260817.0,-1.0,0.703235,0.555689,0.53544
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10']",0.11282200182384662,0.72589,0.539474,0.556216,,,,0.725883,0.539626,0.555739,0.72594,0.540966,0.556043,0.72589,0.539474,0.556216,0.22,19260817.0,-1.0,0.725907,0.540048,0.555756
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1']",0.12606312926040497,0.724908,0.536842,0.537297,,,,0.724904,0.53699,0.536816,0.724909,0.538357,0.537059,0.724908,0.536842,0.537297,0.22,19260817.0,-1.0,0.724898,0.537434,0.536841
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_skew_3']",0.1391626487308353,0.731902,0.545263,0.548108,,,,0.731885,0.545354,0.547838,0.732,0.547012,0.547939,0.731902,0.545263,0.548108,0.25,19260817.0,-1.0,0.731927,0.546053,0.54776
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_max_10']",0.1520359665016577,0.748834,0.545789,0.561081,,,,0.748818,0.545993,0.560795,0.748942,0.546922,0.560933,0.748834,0.545789,0.561081,0.21,19260817.0,-1.0,0.748861,0.546057,0.560721
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_max_10', 'log_ret_normalised_by_day_slope_3']",0.16483066475134214,0.749693,0.544737,0.556757,,,,0.749693,0.544941,0.556772,0.749712,0.545869,0.5568,0.749693,0.544737,0.556757,0.48,19260817.0,-1.0,0.749702,0.545002,0.556715
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_max_10', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_slope_5']",0.17750917004976774,0.752393,0.551579,0.55027,,,,0.752374,0.551787,0.550291,0.752515,0.552586,0.550395,0.752393,0.551579,0.55027,0.58,19260817.0,-1.0,0.752421,0.551743,0.550303
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_max_10', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_slope_5', 'pos_closePriceNorm_lag_1']",0.19011913839522826,0.765521,0.541579,0.54973,,,,0.765494,0.541335,0.549733,0.765702,0.544163,0.549737,0.765521,0.541579,0.54973,0.52,19260817.0,-1.0,0.765556,0.543022,0.549648
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_max_10', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_slope_5', 'pos_closePriceNorm_lag_1', 'log_ret_slope_3']",0.20235863127868675,0.766258,0.545263,0.555676,,,,0.766253,0.545383,0.555668,0.766308,0.546901,0.555916,0.766258,0.545263,0.555676,0.84,19260817.0,-1.0,0.766274,0.545962,0.555801
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'pos_closePrice_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_slope_10', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_max_10', 'log_ret_normalised_by_day_slope_3', 'log_ret_normalised_by_day_slope_5', 'pos_closePriceNorm_lag_1', 'log_ret_slope_3', 'log_ret_skew_5']",0.21405772579718113,0.771166,0.547368,0.557297,,,,0.771142,0.547278,0.557319,0.771329,0.54965,0.557413,0.771166,0.547368,0.557297,0.63,19260817.0,-1.0,0.771198,0.548572,0.557324
