n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['pos_closePrice_lag_1'],0.03811851618277477,0.024835,-0.02001,-0.009736,0.006017,0.006342,0.006344,105576724481.09915,140298272565.22098,102425941881.1262,0.68,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1']",0.07105048446475923,0.042414,-0.01943,-0.007207,0.005962,0.00634,0.006336,148372374145.68015,223090324874.67355,163588042217.63535,0.54,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1']",0.09390454590309442,0.117223,-0.019102,-0.00154,0.005725,0.006339,0.006318,120622219844.41513,177290749522.17657,125111494817.9906,0.5,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1']",0.11583227423601522,0.144832,-0.022674,-0.006191,0.005634,0.00635,0.006333,123246481446.13539,171403577248.86185,128213846973.7825,0.55,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'pos_log_ret_normalised_by_day_lag_1']",0.13446640289937586,0.165113,-0.025517,-0.021851,0.005567,0.006359,0.006382,139930281625.61893,181155090999.8875,130981023498.94632,0.54,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_5']",0.1530842213378134,0.18223,-0.025502,-0.022422,0.00551,0.006359,0.006384,121705743978.33931,171899770708.4951,129818653989.38066,0.49,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_5', 'log_ret_lag_5']",0.17152721026044607,0.194121,-0.017986,-0.020488,0.00547,0.006336,0.006378,130108861646.47719,180172638860.21667,134421960657.20424,0.51,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_5', 'log_ret_lag_5', 'log_ret_slope_5']",0.18752410337931777,0.20961,-0.020216,-0.017132,0.005417,0.006343,0.006367,129173081023.20229,172012931090.6009,135539910846.09251,0.51,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_5', 'log_ret_lag_5', 'log_ret_slope_5', 'pos_log_ret_lag_1']",0.20345483964649302,0.210803,-0.020195,-0.027498,0.005413,0.006343,0.0064,121772293579.87683,162098773502.92023,138670478085.3946,0.55,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'mean_log_ret_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_5', 'log_ret_lag_5', 'log_ret_slope_5', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1']",0.21924811696569918,0.217076,-0.013962,-0.026287,0.005391,0.006323,0.006396,131218478157.24095,161526017943.83755,140170454801.8956,0.45,19260817.0,-1.0
