n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['mean_log_ret_lag_1'],0.07139558443129278,0.596706,0.557368,0.534054,,,,0.595574,0.55479,0.53331,0.597541,0.555895,0.534991,0.596706,0.557368,0.534054,0.29,19260817.0,-1.0,0.596483,0.554062,0.534631
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1']",0.10639442511846209,0.613412,0.544211,0.534595,,,,0.612458,0.544408,0.534495,0.61429,0.544876,0.534974,0.613412,0.544211,0.534595,0.28,19260817.0,-1.0,0.613204,0.544043,0.534829
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1']",0.1365090301950007,0.659412,0.547895,0.550811,,,,0.659379,0.548101,0.550478,0.659429,0.548679,0.550634,0.659412,0.547895,0.550811,0.32,19260817.0,-1.0,0.659372,0.547848,0.550426
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1']",0.16603285164847453,0.695647,0.548947,0.52,,,,0.695597,0.548358,0.519393,0.695713,0.552244,0.519673,0.695647,0.548947,0.52,0.35,19260817.0,-1.0,0.695595,0.550859,0.519495
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1']",0.1953213403211307,0.702235,0.544737,0.548108,,,,0.702196,0.544101,0.547501,0.702285,0.548055,0.547899,0.702235,0.544737,0.548108,0.58,19260817.0,-1.0,0.70219,0.546686,0.547593
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1']",0.2235376780670154,0.716941,0.537895,0.554595,,,,0.716884,0.536643,0.553629,0.717042,0.541973,0.554442,0.716941,0.537895,0.554595,0.44,19260817.0,-1.0,0.716884,0.5404,0.553944
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_skew_3']",0.251590512646575,0.73,0.55,0.554054,,,,0.729957,0.549946,0.553606,0.730081,0.552203,0.553874,0.73,0.55,0.554054,0.64,19260817.0,-1.0,0.72995,0.55114,0.553609
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3']",0.27822877361818943,0.736235,0.545789,0.55027,,,,0.736141,0.544532,0.549977,0.736469,0.550045,0.5501,0.736235,0.545789,0.55027,0.52,19260817.0,-1.0,0.736159,0.548333,0.549908
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3', 'closePriceNorm_slope_3']",0.3029396934134574,0.736235,0.548421,0.552432,,,,0.736075,0.547965,0.551756,0.736668,0.551475,0.552244,0.736235,0.548421,0.552432,0.58,19260817.0,-1.0,0.736135,0.550173,0.551888
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'pos_log_ret_lag_1', 'pos_closePriceNorm_lag_1', 'pos_log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_skew_3', 'log_ret_normalised_by_day_slope_3', 'closePriceNorm_slope_3', 'log_ret_slope_3']",0.32739092545481574,0.739765,0.540526,0.54973,,,,0.739695,0.539084,0.548635,0.739931,0.544904,0.54955,0.739765,0.540526,0.54973,0.58,19260817.0,-1.0,0.739699,0.543196,0.549041
