n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['closePriceNorm_lag_1'],0.07160290678152581,0.579273,0.525263,0.490811,,,,0.579155,0.521952,0.478662,0.579348,0.522981,0.492299,0.579273,0.525263,0.490811,0.76,19260817.0,-1.0,0.579261,0.521601,0.492959
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10']",0.14055931655982734,0.600242,0.523684,0.510811,,,,0.600046,0.518761,0.498712,0.600421,0.52084,0.514556,0.600242,0.523684,0.510811,0.54,19260817.0,-1.0,0.600226,0.519268,0.513001
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3']",0.20906645596503626,0.650788,0.528421,0.501081,,,,0.650787,0.524009,0.493424,0.650791,0.525865,0.503104,0.650788,0.528421,0.501081,1.05,19260817.0,-1.0,0.650789,0.524219,0.502814
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_6']",0.2770273749208779,0.684,0.529474,0.495135,,,,0.683948,0.522087,0.485245,0.684109,0.526322,0.49693,0.684,0.529474,0.495135,0.98,19260817.0,-1.0,0.683991,0.52409,0.497087
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_6', 'closePriceNorm_lag_8']",0.34296580461982457,0.699636,0.516842,0.503784,,,,0.699495,0.51053,0.492115,0.699991,0.51334,0.506647,0.699636,0.516842,0.503784,0.92,19260817.0,-1.0,0.699621,0.51189,0.50592
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_6', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7']",0.4075068863740698,0.708,0.527368,0.501081,,,,0.707803,0.521429,0.492867,0.708535,0.524398,0.503184,0.708,0.527368,0.501081,0.61,19260817.0,-1.0,0.707981,0.522527,0.502874
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_6', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2']",0.469955538176658,0.717818,0.525263,0.487027,,,,0.717801,0.515862,0.472464,0.717864,0.521523,0.488084,0.717818,0.525263,0.487027,0.56,19260817.0,-1.0,0.717813,0.519234,0.489365
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_6', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4']",0.5310072554825277,0.724485,0.537368,0.48973,,,,0.724394,0.527548,0.472288,0.724763,0.534472,0.491163,0.724485,0.537368,0.48973,0.46,19260817.0,-1.0,0.724472,0.531157,0.492288
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_6', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4', 'closePriceNorm_lag_5']",0.5905934112662802,0.723636,0.525263,0.491351,,,,0.723518,0.517547,0.476325,0.724,0.521824,0.492986,0.723636,0.525263,0.491351,0.46,19260817.0,-1.0,0.723621,0.51978,0.493736
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_10', 'closePriceNorm_lag_3', 'closePriceNorm_lag_6', 'closePriceNorm_lag_8', 'closePriceNorm_lag_7', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4', 'closePriceNorm_lag_5', 'closePriceNorm_lag_9']",0.6496175600604359,0.73697,0.53,0.497297,,,,0.736922,0.521892,0.481151,0.737127,0.526765,0.499848,0.73697,0.53,0.497297,0.46,19260817.0,-1.0,0.73696,0.524367,0.499781
