n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['closePriceNorm_lag_1'],0.04773893730388673,0.579273,0.525263,0.490811,,,,0.579155,0.521952,0.478662,0.579348,0.522981,0.492299,0.579273,0.525263,0.490811,0.59,19260817.0,-1.0,0.579261,0.521601,0.492959
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3']",0.08680995728174377,0.597576,0.53,0.501622,,,,0.597276,0.526502,0.491545,0.597843,0.527754,0.50403,0.597576,0.53,0.501622,0.61,19260817.0,-1.0,0.597556,0.526233,0.503605
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2']",0.12464312821854681,0.640121,0.518947,0.508108,,,,0.639168,0.518738,0.505423,0.641569,0.518602,0.509472,0.640121,0.518947,0.508108,0.72,19260817.0,-1.0,0.640084,0.517686,0.509151
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10']",0.16232511097070249,0.68303,0.518947,0.494054,,,,0.682987,0.513703,0.480166,0.683118,0.51585,0.495998,0.68303,0.518947,0.494054,0.48,19260817.0,-1.0,0.683022,0.514409,0.496355
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7']",0.19990045674254106,0.689818,0.53,0.499459,,,,0.689597,0.520324,0.485344,0.690333,0.526559,0.502122,0.689818,0.53,0.499459,0.48,19260817.0,-1.0,0.689799,0.523866,0.501792
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1']",0.2350528708062207,0.706424,0.526316,0.494054,,,,0.706357,0.518483,0.487675,0.706599,0.522913,0.49548,0.706424,0.526316,0.494054,0.54,19260817.0,-1.0,0.706413,0.520789,0.495626
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8']",0.26893103009564356,0.725455,0.514737,0.494054,,,,0.725283,0.510093,0.487033,0.725992,0.511712,0.495536,0.725455,0.514737,0.494054,0.53,19260817.0,-1.0,0.725437,0.510463,0.495702
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6']",0.3027428452413209,0.741697,0.525789,0.509189,,,,0.741653,0.52226,0.503001,0.741849,0.523441,0.511463,0.741697,0.525789,0.509189,0.56,19260817.0,-1.0,0.741688,0.522014,0.510764
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6', 'ret_lag_1']",0.3362792729486298,0.734545,0.517368,0.504865,,,,0.734449,0.510506,0.495772,0.734866,0.513732,0.507411,0.734545,0.517368,0.504865,0.67,19260817.0,-1.0,0.734532,0.512212,0.506758
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6', 'ret_lag_1', 'log_ret_lag_2']",0.36963803452543886,0.742182,0.523158,0.501622,,,,0.742112,0.517165,0.492469,0.742428,0.520004,0.503901,0.742182,0.523158,0.501622,0.48,19260817.0,-1.0,0.74217,0.518308,0.503514
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6', 'ret_lag_1', 'log_ret_lag_2', 'closePriceNorm_lag_6']",0.4028456359566662,0.74097,0.531579,0.506486,,,,0.740963,0.522303,0.49563,0.740989,0.528298,0.5095,0.74097,0.531579,0.506486,0.56,19260817.0,-1.0,0.740966,0.525562,0.508555
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6', 'ret_lag_1', 'log_ret_lag_2', 'closePriceNorm_lag_6', 'ret_lag_3']",0.4359196853573216,0.749576,0.509474,0.494054,,,,0.749358,0.501908,0.483825,0.750413,0.505246,0.495776,0.749576,0.509474,0.494054,0.51,19260817.0,-1.0,0.749554,0.504098,0.496036
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6', 'ret_lag_1', 'log_ret_lag_2', 'closePriceNorm_lag_6', 'ret_lag_3', 'closePriceNorm_lag_4']",0.46831799221409004,0.753455,0.513158,0.508108,,,,0.753368,0.505847,0.499074,0.753793,0.509192,0.51092,0.753455,0.513158,0.508108,0.75,19260817.0,-1.0,0.753441,0.507857,0.510002
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6', 'ret_lag_1', 'log_ret_lag_2', 'closePriceNorm_lag_6', 'ret_lag_3', 'closePriceNorm_lag_4', 'closePriceNorm_lag_9']",0.5002515248761391,0.759758,0.508421,0.491351,,,,0.759644,0.501999,0.482686,0.760224,0.504535,0.492754,0.759758,0.508421,0.491351,0.57,19260817.0,-1.0,0.759742,0.503453,0.493173
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_10', 'closePriceNorm_lag_7', 'log_ret_lag_1', 'closePriceNorm_lag_8', 'log_ret_lag_6', 'ret_lag_1', 'log_ret_lag_2', 'closePriceNorm_lag_6', 'ret_lag_3', 'closePriceNorm_lag_4', 'closePriceNorm_lag_9', 'ret_lag_5']",0.5321719069310592,0.768364,0.522105,0.49027,,,,0.768304,0.514067,0.476373,0.768621,0.518423,0.491738,0.768364,0.522105,0.49027,0.56,19260817.0,-1.0,0.768352,0.516526,0.492563
