n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['pos_closePrice_lag_1'],0.03543382083883834,0.025702,-0.019315,-0.008932,0.977145,0.999464,0.994361,1.626096,1.800868,2.213356,1.33,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1']",0.06332708522309584,0.039879,-0.029229,-0.022826,0.970009,1.004313,1.001184,1.5982,1.578262,2.197704,1.59,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1']",0.08661997630940899,0.10791,-0.037788,-0.014055,0.935012,1.00848,0.996882,1.491193,1.399014,1.659202,1.31,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_std_5']",0.10485760546566693,0.159751,-0.055515,-0.035787,0.907438,1.017057,1.007507,1.284569,1.337018,1.339239,1.13,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_std_5', 'pos_log_ret_normalised_by_day_lag_1']",0.12304129444453007,0.186229,-0.058177,-0.028963,0.893026,1.018338,1.004183,1.309071,1.414959,1.442739,1.33,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_std_5', 'pos_log_ret_normalised_by_day_lag_1', 'pos_log_ret_lag_1']",0.14081675001330174,0.187594,-0.047267,-0.021893,0.892277,1.013075,1.000727,1.397426,1.338489,1.364844,1.36,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_std_5', 'pos_log_ret_normalised_by_day_lag_1', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_lag_5']",0.15836401079920032,0.207404,-0.042915,-0.039286,0.881331,1.010968,1.009208,1.439445,1.400524,1.668615,1.4,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_std_5', 'pos_log_ret_normalised_by_day_lag_1', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_lag_5', 'closePriceNorm_std_5']",0.1752420360341814,0.222564,-0.053718,-0.046275,0.872862,1.016191,1.012595,1.397118,1.459988,1.591544,1.02,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_std_5', 'pos_log_ret_normalised_by_day_lag_1', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_lag_5', 'closePriceNorm_std_5', 'log_ret_normalised_by_day_lag_3']",0.1919789655484529,0.233422,-0.049064,-0.036643,0.866745,1.013944,1.007924,1.406464,1.350569,1.847357,1.38,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_1', 'log_ret_normalised_by_day_std_5', 'pos_log_ret_normalised_by_day_lag_1', 'pos_log_ret_lag_1', 'log_ret_normalised_by_day_lag_5', 'closePriceNorm_std_5', 'log_ret_normalised_by_day_lag_3', 'log_ret_lag_3']",0.20866684474778593,0.240073,-0.034863,-0.036879,0.862976,1.007058,1.008038,1.442631,1.331885,1.720784,1.18,19260817.0,-1.0
