n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['closePriceNorm_lag_10'],0.06471791381186079,0.57903,0.523684,0.492432,,,,0.578906,0.51574,0.477241,0.57911,0.520112,0.494221,0.57903,0.523684,0.492432,0.85,19260817.0,-1.0,0.579018,0.51813,0.494832
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1']",0.12886725859583692,0.599515,0.522632,0.507027,,,,0.599273,0.516573,0.49404,0.599736,0.519439,0.510496,0.599515,0.522632,0.507027,0.84,19260817.0,-1.0,0.599497,0.517758,0.509285
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3']",0.1917284132082337,0.662061,0.527368,0.504324,,,,0.662058,0.519008,0.486857,0.662063,0.523936,0.508159,0.662061,0.527368,0.504324,0.94,19260817.0,-1.0,0.662059,0.521662,0.506924
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8']",0.25246882973607515,0.688485,0.518947,0.488649,,,,0.688372,0.512783,0.47573,0.688739,0.515575,0.489909,0.688485,0.518947,0.488649,0.68,19260817.0,-1.0,0.688471,0.514044,0.490858
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6']",0.31312987889037347,0.69903,0.527368,0.496216,,,,0.699009,0.518155,0.484542,0.699079,0.523803,0.49826,0.69903,0.527368,0.496216,0.82,19260817.0,-1.0,0.699024,0.521389,0.498335
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7']",0.3719613901037103,0.701212,0.519474,0.496216,,,,0.700946,0.513842,0.487706,0.7019,0.516277,0.497982,0.701212,0.519474,0.496216,0.61,19260817.0,-1.0,0.701191,0.514777,0.498031
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9']",0.42912831891579706,0.717091,0.537368,0.505405,,,,0.716994,0.528842,0.492644,0.717371,0.53455,0.508634,0.717091,0.537368,0.505405,0.54,19260817.0,-1.0,0.717078,0.531567,0.50764
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5']",0.4856070373339734,0.718545,0.538947,0.500541,,,,0.718214,0.531323,0.4898,0.719543,0.536294,0.502933,0.718545,0.538947,0.500541,0.51,19260817.0,-1.0,0.718521,0.533445,0.502585
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_2']",0.541515229073844,0.730545,0.531579,0.481622,,,,0.730524,0.522157,0.464655,0.73061,0.528282,0.481821,0.730545,0.531579,0.481622,0.62,19260817.0,-1.0,0.730539,0.525516,0.484125
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4']",0.5961010727802478,0.733939,0.526316,0.5,,,,0.733687,0.518212,0.486736,0.734797,0.522864,0.502636,0.733939,0.526316,0.5,0.72,19260817.0,-1.0,0.733917,0.520698,0.502264
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4', 'log_ret_lag_1']",0.6458675212099037,0.74303,0.533158,0.502162,,,,0.742979,0.523398,0.49339,0.743211,0.529944,0.504431,0.74303,0.533158,0.502162,0.81,19260817.0,-1.0,0.74302,0.526984,0.504017
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4', 'log_ret_lag_1', 'ret_lag_1']",0.6916915565379412,0.740485,0.536316,0.504865,,,,0.740382,0.530991,0.498122,0.740844,0.533818,0.50699,0.740485,0.536316,0.504865,0.62,19260817.0,-1.0,0.740471,0.531696,0.506499
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4', 'log_ret_lag_1', 'ret_lag_1', 'log_ret_lag_2']",0.7367011918727583,0.751273,0.516842,0.486486,,,,0.751256,0.51077,0.475941,0.75133,0.513412,0.48752,0.751273,0.516842,0.486486,0.57,19260817.0,-1.0,0.751267,0.511981,0.488482
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_2', 'closePriceNorm_lag_4', 'log_ret_lag_1', 'ret_lag_1', 'log_ret_lag_2', 'ret_lag_2']",0.7807778098462351,0.747273,0.52,0.497838,,,,0.7472,0.513237,0.489283,0.74754,0.516512,0.499734,0.747273,0.52,0.497838,0.73,19260817.0,-1.0,0.747261,0.514871,0.499661
