n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['log_ret_lag_1'],0.07946541468942982,0.025196,-0.012339,-0.015512,0.006017,0.006318,0.006362,95142205141.71127,95086683127.63852,96471763434.87756,0.39,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1']",0.15381558770525794,0.026401,-0.011884,-0.01642,0.006013,0.006317,0.006365,95179737046.17232,101340942337.63223,105301169430.83362,0.5,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2']",0.22293685673747027,0.08953,-0.017673,-0.020428,0.005815,0.006335,0.006378,82440874921.98851,103675806364.73566,95011755445.8448,0.52,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2']",0.2885505994222826,0.098883,-0.017839,-0.026943,0.005785,0.006335,0.006398,79806952582.99326,107781030558.32407,92493589860.54967,0.26,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7']",0.3519388055308827,0.138517,-0.010256,-0.048312,0.005656,0.006312,0.006464,107706360413.29762,122496778527.61342,209552346671.1866,0.31,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8']",0.4131644792291401,0.157444,-0.005742,-0.047244,0.005594,0.006298,0.006461,109927325557.8846,138979146873.44812,185812237367.70554,0.46,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3']",0.4718593398228269,0.175366,-0.017261,-0.054105,0.005534,0.006333,0.006482,106529532215.63335,120969658497.0054,210169830121.90518,0.28,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10']",0.5295042603865657,0.187528,-0.020381,-0.049365,0.005493,0.006343,0.006468,101882447450.66907,111059877012.55121,172009944075.81027,0.21,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5']",0.5807954094431943,0.190304,-0.011792,-0.044606,0.005483,0.006316,0.006453,105281035299.25462,104546967892.75948,191512322794.72787,0.23,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6']",0.6317859269968435,0.197664,-0.015523,-0.055265,0.005459,0.006328,0.006486,105057259076.20259,113770020346.74464,187666850302.0829,0.17,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9']",0.6825603912981631,0.203986,-0.010137,-0.060586,0.005437,0.006311,0.006502,102088230654.58478,101368121818.01128,191642949324.8202,0.17,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1']",0.7323956929514984,0.201096,-0.00633,-0.062872,0.005447,0.006299,0.006509,110816418616.95494,119361831669.46115,205718657596.54712,0.21,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4']",0.7817033705363414,0.211339,-0.012754,-0.055742,0.005412,0.006319,0.006487,105458082170.15935,107221681413.9498,207574463743.17166,0.17,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2']",0.8240909052125764,0.212809,-0.01172,-0.057783,0.005407,0.006316,0.006493,111746108240.94925,111021654463.12997,219688742105.79214,0.18,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2', 'closePrice_lag_10']",0.8451600673460793,0.21627,-0.010753,-0.057117,0.005395,0.006313,0.006491,106045575313.84068,142666779005.12286,238509172981.0723,0.21,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2', 'closePrice_lag_10', 'closePrice_lag_9']",0.8642509468933114,0.216072,-0.017525,-0.064135,0.005396,0.006334,0.006513,108921538684.7921,176946585215.04608,233588289496.3002,0.26,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2', 'closePrice_lag_10', 'closePrice_lag_9', 'closePrice_lag_1']",0.8830950393008027,0.218357,-0.015996,-0.070166,0.005388,0.00633,0.006531,109393527039.97203,203624545216.2904,265950812066.39557,0.19,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2', 'closePrice_lag_10', 'closePrice_lag_9', 'closePrice_lag_1', 'closePrice_lag_7']",0.9010849036079627,0.221033,-0.017294,-0.064681,0.005378,0.006334,0.006515,109537503085.09718,158411231292.91907,234213544346.19974,0.51,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2', 'closePrice_lag_10', 'closePrice_lag_9', 'closePrice_lag_1', 'closePrice_lag_7', 'closePrice_lag_8']",0.9184894757545394,0.216504,-0.014442,-0.059532,0.005394,0.006325,0.006499,111077879301.75377,184110287598.33496,297939334275.4854,0.89,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2', 'closePrice_lag_10', 'closePrice_lag_9', 'closePrice_lag_1', 'closePrice_lag_7', 'closePrice_lag_8', 'closePrice_lag_2']",0.9356451493131087,0.226254,-0.019813,-0.056996,0.00536,0.006341,0.006491,108906808803.6615,172851777736.35806,244377147420.20514,0.81,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_lag_1', 'ret_lag_1', 'ret_lag_2', 'log_ret_lag_2', 'closePriceNorm_lag_7', 'closePriceNorm_lag_8', 'closePriceNorm_lag_3', 'closePriceNorm_lag_10', 'closePriceNorm_lag_5', 'closePriceNorm_lag_6', 'closePriceNorm_lag_9', 'closePriceNorm_lag_1', 'closePriceNorm_lag_4', 'closePriceNorm_lag_2', 'closePrice_lag_10', 'closePrice_lag_9', 'closePrice_lag_1', 'closePrice_lag_7', 'closePrice_lag_8', 'closePrice_lag_2', 'closePrice_lag_5']",0.9523052665884432,0.227983,-0.011454,-0.060749,0.005354,0.006315,0.006503,116850411531.25699,151688368593.68085,245858091767.78806,1.08,19260817.0,-1.0
