n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['mean_log_ret_lag_1'],0.024169504123850903,0.025421,-0.010527,-0.007497,0.006013,0.006312,0.006337,165295460557.08472,215023501289.43033,164852784954.8677,0.58,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1']",0.047793693342354795,0.042721,-0.017321,-0.008813,0.00596,0.006334,0.006341,153614648042.19104,216227203095.42618,167281671004.63055,0.49,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1']",0.06584222924443789,0.111035,-0.02013,-0.015948,0.005743,0.006342,0.006364,134397041861.90137,208478893408.8183,141161173327.96677,0.79,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7']",0.0811354241913396,0.1639,-0.019628,-0.014656,0.00557,0.006341,0.00636,121878339054.25098,164913603209.90338,131941064724.37784,0.7,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1']",0.09636747196907164,0.177203,-0.020261,-0.019111,0.005525,0.006343,0.006374,125270229062.19353,168264008107.16586,127599463893.35254,0.5,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8']",0.11098153736238116,0.189067,-0.023333,-0.009218,0.005485,0.006352,0.006343,113417322184.26779,130220680185.71408,121130849168.45528,0.66,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10']",0.12534969306633223,0.205246,-0.019565,-0.012106,0.00543,0.006341,0.006352,107767594325.34859,128025081345.44658,113169228289.65079,0.55,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10', 'log_ret_normalised_by_day_lag_9']",0.13886655008833812,0.225833,-0.025501,-0.011302,0.00536,0.006359,0.006349,112641137891.1878,146372389845.02527,113046062978.23042,0.49,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10', 'log_ret_normalised_by_day_lag_9', 'log_ret_lag_7']",0.15212712126557715,0.222998,-0.013851,-0.007434,0.005369,0.006323,0.006337,112371044109.47522,128213779525.39316,113015360848.7114,0.67,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10', 'log_ret_normalised_by_day_lag_9', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_8']",0.16531477104920658,0.238779,-0.018719,-0.017355,0.005315,0.006338,0.006368,116888360334.6808,125799138107.6205,110875231674.6175,0.74,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10', 'log_ret_normalised_by_day_lag_9', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_8', 'log_ret_lag_9']",0.17848540425764814,0.23703,-0.01677,-0.012585,0.005321,0.006332,0.006353,110627595786.81046,137613999839.43472,115248925199.50299,0.58,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10', 'log_ret_normalised_by_day_lag_9', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_8', 'log_ret_lag_9', 'log_ret_lag_6']",0.19135100000140862,0.247729,-0.019617,-0.01784,0.005283,0.006341,0.00637,114573618512.23917,144846365813.35867,111311658669.00462,0.6,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10', 'log_ret_normalised_by_day_lag_9', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_8', 'log_ret_lag_9', 'log_ret_lag_6', 'log_ret_normalised_by_day_lag_3']",0.2030817593073595,0.260064,-0.007926,-0.032355,0.00524,0.006304,0.006415,127986175159.62852,147150043499.0958,125635208890.59914,0.71,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['mean_log_ret_lag_1', 'pos_closePrice_lag_1', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_7', 'log_ret_normalised_by_day_lag_1', 'log_ret_lag_8', 'closePrice_slope_10', 'log_ret_normalised_by_day_lag_9', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_8', 'log_ret_lag_9', 'log_ret_lag_6', 'log_ret_normalised_by_day_lag_3', 'pos_log_ret_normalised_by_day_lag_1']",0.21468118460656282,0.2699,-0.012645,-0.02431,0.005205,0.006319,0.00639,121203620118.19896,166541656039.63757,140305081975.27322,0.68,19260817.0,-1.0
