n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['closePriceNorm_lag_10'],0.05853479282975975,0.57903,0.523684,0.492432,,,,0.578906,0.51574,0.477241,0.57911,0.520112,0.494221,0.57903,0.523684,0.492432,0.42,19260817.0,-1.0,0.579018,0.51813,0.494832
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8']",0.11271687346391569,0.603394,0.532105,0.503243,,,,0.603015,0.526397,0.487985,0.603764,0.529375,0.506576,0.603394,0.532105,0.503243,0.35,19260817.0,-1.0,0.603372,0.527341,0.505675
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6']",0.16598970015109826,0.644848,0.524737,0.496757,,,,0.644555,0.517078,0.48682,0.645301,0.52128,0.498702,0.644848,0.524737,0.496757,0.27,19260817.0,-1.0,0.644828,0.519276,0.498716
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1']",0.2191177426192791,0.684121,0.526842,0.501622,,,,0.684062,0.521297,0.494041,0.684246,0.523943,0.503672,0.684121,0.526842,0.501622,0.17,19260817.0,-1.0,0.684111,0.522159,0.503347
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1', 'closePriceNorm_lag_7']",0.2703723073051687,0.697818,0.521053,0.497297,,,,0.697726,0.514795,0.48665,0.698042,0.517743,0.49936,0.697818,0.521053,0.497297,0.17,19260817.0,-1.0,0.697806,0.516108,0.499326
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_3']",0.3197911565436296,0.707394,0.524211,0.496216,,,,0.707316,0.517507,0.484713,0.7076,0.520931,0.498246,0.707394,0.524211,0.496216,0.17,19260817.0,-1.0,0.707382,0.51909,0.49832
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2']",0.3687113494062937,0.712364,0.528421,0.481081,,,,0.712112,0.521403,0.467786,0.713079,0.52528,0.481461,0.712364,0.528421,0.481081,0.17,19260817.0,-1.0,0.712342,0.523172,0.483304
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_9']",0.4162825841716698,0.718909,0.521053,0.501081,,,,0.71876,0.512859,0.487663,0.719351,0.517277,0.503871,0.718909,0.521053,0.501081,0.26,19260817.0,-1.0,0.718892,0.515425,0.503361
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5']",0.46310886974511745,0.725212,0.526316,0.51027,,,,0.72519,0.517082,0.497898,0.725275,0.522675,0.514012,0.725212,0.526316,0.51027,0.17,19260817.0,-1.0,0.725206,0.520334,0.512483
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_4']",0.506096536524494,0.737212,0.532105,0.494054,,,,0.737068,0.524952,0.480354,0.737708,0.529129,0.495987,0.737212,0.532105,0.494054,0.18,19260817.0,-1.0,0.737195,0.526795,0.49634
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_1', 'closePriceNorm_lag_7', 'closePriceNorm_lag_3', 'closePriceNorm_lag_2', 'closePriceNorm_lag_9', 'closePriceNorm_lag_5', 'closePriceNorm_lag_4', 'ret_lag_1']",0.5478110259010481,0.745091,0.524737,0.496757,,,,0.745077,0.517854,0.487132,0.745138,0.521442,0.498672,0.745091,0.524737,0.496757,0.33,19260817.0,-1.0,0.745086,0.519549,0.498686
