n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['log_ret_normalised_by_day_lag_1'],0.013900960930945509,0.024023,-0.023181,-0.010846,0.006012,0.006352,0.006348,129847317651.96674,165646692538.81082,128863584299.98631,0.04,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20']",0.026689861942275087,0.044182,-0.023971,-0.026061,0.00595,0.006354,0.006395,129248151519.0715,143366998356.018,113403076748.94388,0.04,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10']",0.03922349709211769,0.126697,-0.04313,-0.02879,0.005687,0.006413,0.006404,85618179691.37582,96613726735.99126,80624743223.26338,0.04,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1']",0.05164447240876965,0.163452,-0.039269,-0.039883,0.005566,0.006402,0.006438,92589622790.4003,116628072199.24402,84461250541.36067,0.06,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10']",0.06331897833462614,0.194328,-0.030141,-0.044624,0.005463,0.006373,0.006453,90061579881.22652,110467108738.23755,78192590543.22981,0.05,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9']",0.07470822413783489,0.203708,-0.020876,-0.045662,0.005431,0.006345,0.006456,82299503560.84784,113277826829.49026,84636774799.4222,0.07,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8']",0.08588774556251214,0.225215,-0.013367,-0.031649,0.005357,0.006321,0.006413,85686309024.26135,103592380806.87654,86717688811.7274,0.09,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8']",0.0969894503120869,0.231675,-0.018644,-0.041404,0.005334,0.006338,0.006443,87285402664.92532,114636584310.19931,73741763970.50386,0.09,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7']",0.10792094320370418,0.237661,-0.029472,-0.033956,0.005314,0.006371,0.00642,84534565995.5516,100055784846.42828,82885228993.00487,0.1,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6']",0.11871390319968264,0.248192,-0.029838,-0.039207,0.005277,0.006373,0.006436,89208832220.78088,106695668854.8761,94342191818.34598,0.25,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6', 'log_ret_lag_7']",0.12888416347356163,0.26066,-0.025694,-0.031339,0.005233,0.00636,0.006412,83889976121.60455,84748910992.48586,81032067259.66945,0.12,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_3']",0.1390211705166037,0.27189,-0.00622,-0.060509,0.005193,0.006299,0.006502,80233474498.17268,106709515528.76704,95360191864.49777,0.16,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_3', 'log_ret_slope_5']",0.1491125821005627,0.275422,-0.023632,-0.052859,0.00518,0.006353,0.006478,77642745193.34154,98346162721.59207,91096497803.22327,0.12,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_3', 'log_ret_slope_5', 'log_ret_normalised_by_day_lag_2']",0.15900295752097332,0.289397,-0.014066,-0.042584,0.00513,0.006324,0.006447,91231601040.90181,109718972979.73325,93334719985.50679,0.16,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_3', 'log_ret_slope_5', 'log_ret_normalised_by_day_lag_2', 'log_ret_std_20']",0.1688838654567225,0.299829,-0.02305,-0.046141,0.005092,0.006351,0.006458,81301060509.87633,99799316322.71092,89131094683.92903,0.16,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_3', 'log_ret_slope_5', 'log_ret_normalised_by_day_lag_2', 'log_ret_std_20', 'log_ret_lag_10']",0.17867982516001185,0.304952,-0.027417,-0.043598,0.005074,0.006365,0.00645,84689389312.10637,92120069934.88618,79399146643.17075,0.15,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['log_ret_normalised_by_day_lag_1', 'closePrice_slope_20', 'closePrice_slope_10', 'log_ret_lag_1', 'log_ret_normalised_by_day_lag_10', 'log_ret_lag_9', 'log_ret_lag_8', 'log_ret_normalised_by_day_lag_8', 'log_ret_normalised_by_day_lag_7', 'log_ret_lag_6', 'log_ret_lag_7', 'log_ret_normalised_by_day_lag_3', 'log_ret_slope_5', 'log_ret_normalised_by_day_lag_2', 'log_ret_std_20', 'log_ret_lag_10', 'log_ret_min_20']",0.18844022341584518,0.311201,-0.026975,-0.035755,0.005051,0.006364,0.006425,75672749996.45776,94193527497.83598,78168735263.15068,0.12,19260817.0,-1.0
