n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,Train balanced_accuracy,Val balanced_accuracy,Test balanced_accuracy
50.0,12.0,0.7,0.7,0.1,0.01,['closePriceNorm_lag_10'],0.05144098590733678,0.57903,0.523684,0.492432,,,,0.578906,0.51574,0.477241,0.57911,0.520112,0.494221,0.57903,0.523684,0.492432,0.43,19260817.0,-1.0,0.579018,0.51813,0.494832
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1']",0.10057174842638802,0.599515,0.522632,0.507027,,,,0.599273,0.516573,0.49404,0.599736,0.519439,0.510496,0.599515,0.522632,0.507027,0.47,19260817.0,-1.0,0.599497,0.517758,0.509285
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3']",0.14558992520287067,0.662061,0.527368,0.504324,,,,0.662058,0.519008,0.486857,0.662063,0.523936,0.508159,0.662061,0.527368,0.504324,0.51,19260817.0,-1.0,0.662059,0.521662,0.506924
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8']",0.18848592914800158,0.688485,0.518947,0.488649,,,,0.688372,0.512783,0.47573,0.688739,0.515575,0.489909,0.688485,0.518947,0.488649,0.49,19260817.0,-1.0,0.688471,0.514044,0.490858
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6']",0.22949307507676933,0.69903,0.527368,0.496216,,,,0.699009,0.518155,0.484542,0.699079,0.523803,0.49826,0.69903,0.527368,0.496216,0.48,19260817.0,-1.0,0.699024,0.521389,0.498335
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7']",0.27041632419270134,0.701212,0.519474,0.496216,,,,0.700946,0.513842,0.487706,0.7019,0.516277,0.497982,0.701212,0.519474,0.496216,0.46,19260817.0,-1.0,0.701191,0.514777,0.498031
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9']",0.3112110043367346,0.717091,0.537368,0.505405,,,,0.716994,0.528842,0.492644,0.717371,0.53455,0.508634,0.717091,0.537368,0.505405,0.62,19260817.0,-1.0,0.717078,0.531567,0.50764
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2']",0.3506667308059772,0.726061,0.534211,0.494054,,,,0.725964,0.523868,0.477804,0.726361,0.531032,0.496123,0.726061,0.534211,0.494054,0.55,19260817.0,-1.0,0.726047,0.527857,0.496538
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5']",0.3891427119384603,0.727152,0.54,0.491892,,,,0.727105,0.531315,0.473877,0.727294,0.537347,0.493686,0.727152,0.54,0.491892,0.55,19260817.0,-1.0,0.727142,0.534135,0.494497
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3']",0.42630918100703596,0.739636,0.521053,0.485405,,,,0.739602,0.512581,0.470104,0.739751,0.517216,0.48623,0.739636,0.521053,0.485405,0.62,19260817.0,-1.0,0.739628,0.515334,0.487796
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1']",0.4633324013165979,0.745333,0.518421,0.479459,,,,0.745162,0.512546,0.468687,0.745967,0.515112,0.479839,0.745333,0.518421,0.479459,0.47,19260817.0,-1.0,0.745315,0.513631,0.481461
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1']",0.49960996713315103,0.737091,0.526842,0.494595,,,,0.736968,0.520481,0.483476,0.73751,0.523757,0.496429,0.737091,0.526842,0.494595,0.53,19260817.0,-1.0,0.737075,0.52184,0.49666
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4']",0.5350937349901407,0.751515,0.525263,0.503784,,,,0.751481,0.517004,0.493908,0.751642,0.521721,0.506364,0.751515,0.525263,0.503784,0.5,19260817.0,-1.0,0.751507,0.519598,0.505752
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6']",0.570394489323807,0.755394,0.526316,0.494054,,,,0.755254,0.518348,0.48284,0.755952,0.522889,0.49584,0.755394,0.526316,0.494054,0.5,19260817.0,-1.0,0.755377,0.520744,0.496127
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5']",0.6055234842027155,0.759273,0.528947,0.487568,,,,0.759202,0.524286,0.476715,0.759557,0.526341,0.488703,0.759273,0.528947,0.487568,0.54,19260817.0,-1.0,0.75926,0.524632,0.489594
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5', 'log_ret_lag_2']",0.6406158155399261,0.767515,0.521053,0.504324,,,,0.767377,0.514675,0.495296,0.768125,0.517711,0.506813,0.767515,0.521053,0.504324,0.45,19260817.0,-1.0,0.767498,0.516063,0.50621
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5', 'log_ret_lag_2', 'ret_lag_5']",0.6755095796215538,0.766667,0.520526,0.505946,,,,0.76659,0.514322,0.496113,0.767,0.517209,0.508719,0.766667,0.520526,0.505946,0.52,19260817.0,-1.0,0.766654,0.515604,0.507915
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5', 'log_ret_lag_2', 'ret_lag_5', 'ret_lag_6']",0.710112502249133,0.76497,0.522632,0.500541,,,,0.76492,0.513546,0.489962,0.765178,0.51877,0.502912,0.76497,0.522632,0.500541,0.48,19260817.0,-1.0,0.764959,0.516711,0.502569
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5', 'log_ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'ret_lag_2']",0.7439698971871548,0.763273,0.514211,0.501622,,,,0.763214,0.50908,0.491703,0.763517,0.510994,0.504009,0.763273,0.514211,0.501622,0.6,19260817.0,-1.0,0.763261,0.509731,0.50359
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5', 'log_ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'ret_lag_2', 'log_ret_lag_3']",0.7774165105984924,0.767394,0.534211,0.499459,,,,0.767361,0.529396,0.48934,0.767532,0.531736,0.501672,0.767394,0.534211,0.499459,0.59,19260817.0,-1.0,0.767385,0.529814,0.501443
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5', 'log_ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'ret_lag_2', 'log_ret_lag_3', 'log_ret_lag_4']",0.8101816226004748,0.76897,0.512105,0.493514,,,,0.768926,0.503829,0.480808,0.769157,0.507798,0.495327,0.76897,0.512105,0.493514,0.49,19260817.0,-1.0,0.76896,0.506484,0.495716
50.0,12.0,0.7,0.7,0.1,0.01,"['closePriceNorm_lag_10', 'closePriceNorm_lag_1', 'closePriceNorm_lag_3', 'closePriceNorm_lag_8', 'closePriceNorm_lag_6', 'closePriceNorm_lag_7', 'closePriceNorm_lag_9', 'closePriceNorm_lag_2', 'closePriceNorm_lag_5', 'ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'closePriceNorm_lag_4', 'log_ret_lag_6', 'log_ret_lag_5', 'log_ret_lag_2', 'ret_lag_5', 'ret_lag_6', 'ret_lag_2', 'log_ret_lag_3', 'log_ret_lag_4', 'ret_lag_4']",0.842179172863824,0.768,0.528947,0.491892,,,,0.767943,0.521746,0.481619,0.768245,0.5258,0.493417,0.768,0.528947,0.491892,0.58,19260817.0,-1.0,0.767989,0.523631,0.493873
