n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['ret_lag_7'],0.046191523806657545,0.021302,-0.006144,-0.012163,0.006029,0.006299,0.006352,87008154034.70525,114415085788.23677,97534094850.29341,0.14,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1']",0.0919645464524449,0.036551,-0.011011,-0.019551,0.005982,0.006314,0.006375,94218621597.13763,119360833282.6195,96453557808.99207,0.38,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3']",0.13547959819641844,0.12086,-0.016137,-0.038318,0.005714,0.00633,0.006433,90994185469.99791,105492436279.78296,86964979629.59445,0.22,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7']",0.17834087118888867,0.143252,-0.014815,-0.046494,0.005641,0.006326,0.006459,84191222380.25165,93260078749.58563,72865024058.55716,0.15,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8']",0.22078023049312137,0.171854,-0.010584,-0.056583,0.005546,0.006313,0.00649,87639789936.66492,104522693842.58209,78099154259.85393,0.15,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8']",0.2618837473199018,0.164639,-0.016415,-0.039399,0.00557,0.006331,0.006437,95050003527.73753,105054092519.46744,94673033943.65851,0.16,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3']",0.30263133498548533,0.172279,-0.012447,-0.054065,0.005544,0.006318,0.006482,95625529284.15054,105111998824.59886,82935784427.21329,0.16,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3', 'ret_lag_1']",0.34312388400399113,0.173207,-0.008759,-0.048209,0.005541,0.006307,0.006464,95124715010.55222,105577860790.52895,78640206310.9688,0.15,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3', 'ret_lag_1', 'ret_lag_2']",0.3834880986579786,0.192461,-0.018295,-0.030988,0.005476,0.006337,0.006411,90731321321.7701,102722023607.64598,84497042526.46219,0.21,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3', 'ret_lag_1', 'ret_lag_2', 'ret_lag_5']",0.4235842728431358,0.209148,-0.014486,-0.03842,0.005419,0.006325,0.006434,81127657633.4523,87792520368.4171,78625625959.06882,0.15,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3', 'ret_lag_1', 'ret_lag_2', 'ret_lag_5', 'log_ret_lag_2']",0.4621625278940329,0.211877,-0.014252,-0.040186,0.00541,0.006324,0.006439,88305658599.86467,87132406942.33868,77856834506.34183,0.2,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3', 'ret_lag_1', 'ret_lag_2', 'ret_lag_5', 'log_ret_lag_2', 'ret_lag_6']",0.4994088337896624,0.228823,-0.016991,-0.03545,0.005351,0.006333,0.006425,84794821536.92787,97456134626.95853,93947990342.92738,0.17,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3', 'ret_lag_1', 'ret_lag_2', 'ret_lag_5', 'log_ret_lag_2', 'ret_lag_6', 'log_ret_lag_6']",0.5364638249142775,0.228583,-0.022801,-0.039635,0.005352,0.006351,0.006437,85352539321.43547,105777429848.79895,89096790705.4079,0.17,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_7', 'log_ret_lag_1', 'log_ret_lag_3', 'log_ret_lag_7', 'log_ret_lag_8', 'ret_lag_8', 'ret_lag_3', 'ret_lag_1', 'ret_lag_2', 'ret_lag_5', 'log_ret_lag_2', 'ret_lag_6', 'log_ret_lag_6', 'log_ret_lag_4']",0.5726878842287187,0.240557,-0.001974,-0.037031,0.005311,0.006286,0.006429,92256177855.70508,94952143176.01772,88297443294.41913,0.23,19260817.0,-1.0
