n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,random_state,n_jobs
50.0,12.0,0.7,0.7,0.1,0.01,['ret_lag_3'],0.06540688945341779,0.027717,-0.022781,-0.016306,0.006009,0.006351,0.006365,119493558499.47014,141984263338.77798,118504711742.8576,0.41,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1']",0.12602234642958338,0.041843,-0.019667,-0.024752,0.005965,0.006341,0.006391,114788249445.17073,136280587783.97006,116072307612.47693,0.46,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1']",0.18627343933732232,0.100433,-0.010065,-0.04011,0.00578,0.006311,0.006439,102456989360.90903,124304627918.71709,101230679161.49289,0.4,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'log_ret_lag_3']",0.24483233610487598,0.101961,-0.012141,-0.036827,0.005775,0.006318,0.006429,100882809728.71484,118485285036.97226,101356619225.48744,0.38,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_2']",0.300080895945657,0.141158,-0.02079,-0.04276,0.005647,0.006344,0.006447,90003182817.47754,112077788402.03513,100747838077.5483,0.37,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_2', 'log_ret_lag_2']",0.3533150531279047,0.145692,-0.019867,-0.032335,0.005633,0.006342,0.006415,89380738999.98763,123964986536.23746,100951454329.21783,0.38,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_2', 'log_ret_lag_2', 'log_ret_lag_4']",0.4035777622124683,0.175726,-0.010474,-0.04051,0.005533,0.006312,0.00644,88115959039.04921,104603275122.27615,88084082958.08696,0.4,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_2', 'log_ret_lag_2', 'log_ret_lag_4', 'closePriceNorm_lag_10']",0.4535680807164637,0.201039,-0.005098,-0.04402,0.005447,0.006295,0.006451,102939577070.60953,81139586805.32848,104427994798.84422,0.42,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_2', 'log_ret_lag_2', 'log_ret_lag_4', 'closePriceNorm_lag_10', 'ret_lag_4']",0.5034722775512822,0.202889,-0.001236,-0.049938,0.005441,0.006283,0.006469,107436358292.96193,77864500432.0123,98952486973.44223,0.41,19260817.0,-1.0
50.0,12.0,0.7,0.7,0.1,0.01,"['ret_lag_3', 'ret_lag_1', 'log_ret_lag_1', 'log_ret_lag_3', 'ret_lag_2', 'log_ret_lag_2', 'log_ret_lag_4', 'closePriceNorm_lag_10', 'ret_lag_4', 'closePriceNorm_lag_8']",0.5499141416026078,0.208989,-0.008063,-0.055992,0.00542,0.006305,0.006488,118965303468.12413,87027599024.47054,168209071666.24493,0.42,19260817.0,-1.0
