short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.05,0.2,0.04,2.0,0.01,,20.48228073019039,,,,,,,,,19.10067263390423,18.34047585681366
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.15,0.2,0.04,2.0,0.01,,20.32898183596279,,,,,,,,,18.787243620308903,15.83616513701411
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.2,0.04,2.0,0.01,,22.227558446416797,,,,,,,,,21.70924689874937,14.766214058130174
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.05,0.04,2.0,0.01,,22.21276731264849,,,,,,,,,21.59689518259526,15.095344221276804
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.33146762439128,,,,,,,,,21.73540843192176,15.042017755934241
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.4,0.04,2.0,0.01,,22.231113147629394,,,,,,,,,21.72045628984366,14.805947049908129
2.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.8,0.04,2.0,0.01,,22.231113147629394,,,,,,,,,21.72045628984366,14.805947049908129
2.0,15.0,3.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,-2.543702132665493,,,,,,,,,-4.595729447223525,11.6839552810205
2.0,15.0,4.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,10.001610018862133,,,,,,,,,10.794866476600644,5.137473083083114
2.0,15.0,5.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,14.772116112724635,,,,,,,,,17.273811169322023,8.916000249929233
2.0,15.0,6.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,18.948899645900195,,,,,,,,,19.96423060841339,14.818875898585047
3.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.341583621754204,,,,,,,,,21.737445498201907,14.221448465212204
4.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.54103028320032,,,,,,,,,21.94853210242297,13.956880382736271
5.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.47000660282796,,,,,,,,,22.2953666335264,13.8949965360406
6.0,15.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.153119274666608,,,,,,,,,22.59825573967604,12.312126042538965
4.0,20.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.61003755790193,,,,,,,,,23.079557450696626,13.916264176169397
4.0,25.0,7.0,100.0,250.0,10.0,0.5,0.35,0.1,0.04,2.0,0.01,,22.842155561653318,,,,,,,,,23.94477814360392,13.992888498516328
